Age,Gender,Education Level,Income Level,Region,Exercise Frequency,Diet Type,Current Supplement Usage,Interest in Scientific Wellness,Health Priorities,Spending Range,Estimated Monthly Spending (AED),Interest in DNA-Based Wellness Concept
64,Female,Master’s,>20000 AED,Other,3-4 times/week,Non-Vegetarian,No,Very Interested,"Fitness Performance, Anti-Aging, Immunity Boost, Skin Health",<200 AED,309.08,Highly Interested
33,Female,Master’s,<2000 AED,Dubai,Never,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Skin Health, Weight Management, Mental Wellness, Energy Levels",500-1000 AED,511.8,Neutral
22,Prefer not to say,High School,10000-20000 AED,Ajman,3-4 times/week,Vegetarian,No,Somewhat Interested,"Skin Health, Fitness Performance, Mental Wellness",500-1000 AED,706.87,Highly Interested
52,Non-binary,Bachelor’s,>20000 AED,Sharjah,3-4 times/week,Vegetarian,Yes,Neutral,"Mental Wellness, Skin Health, Fitness Performance, Weight Management, Energy Levels",500-1000 AED,649.62,Interested
29,Female,Bachelor’s,10000-20000 AED,Dubai,1-2 times/week,Pescatarian,Yes,Somewhat Interested,"Skin Health, Energy Levels, Immunity Boost, Anti-Aging",1000-2000 AED,1748.11,Highly Interested
42,Female,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Energy Levels, Mental Wellness, Weight Management, Immunity Boost, Anti-Aging",>2000 AED,2208.28,Highly Interested
38,Male,Master’s,10000-20000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Skin Health, Energy Levels",200-500 AED,261.57,Highly Interested
53,Female,High School,>20000 AED,Sharjah,5+ times/week,Pescatarian,Yes,Very Interested,"Fitness Performance, Anti-Aging, Weight Management, Energy Levels, Immunity Boost",<200 AED,175.81,Interested
40,Male,Bachelor’s,5000-10000 AED,Other,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Anti-Aging, Immunity Boost",<200 AED,150.25,Interested
33,Female,High School,5000-10000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Weight Management, Immunity Boost, Skin Health, Anti-Aging",200-500 AED,293.3,Highly Interested
56,Prefer not to say,High School,5000-10000 AED,Ajman,Never,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Energy Levels",500-1000 AED,942.96,Highly Interested
62,Female,Bachelor’s,5000-10000 AED,Abu Dhabi,Never,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Energy Levels, Anti-Aging, Immunity Boost",1000-2000 AED,1774.93,Neutral
59,Female,Bachelor’s,5000-10000 AED,Ajman,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Anti-Aging, Immunity Boost, Mental Wellness, Weight Management",1000-2000 AED,1735.25,Highly Interested
56,Male,Doctorate,5000-10000 AED,Sharjah,Never,Vegetarian,No,Neutral,"Mental Wellness, Immunity Boost, Energy Levels",200-500 AED,439.2,Neutral
31,Male,Bachelor’s,2000-5000 AED,Dubai,Never,Vegetarian,No,Very Interested,"Weight Management, Immunity Boost, Energy Levels",200-500 AED,280.83,Highly Interested
48,Female,Bachelor’s,<2000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,No,Very Interested,"Anti-Aging, Fitness Performance, Mental Wellness",500-1000 AED,943.72,Interested
22,Male,Bachelor’s,<2000 AED,Ajman,3-4 times/week,Pescatarian,Yes,Very Interested,"Immunity Boost, Energy Levels",<200 AED,154.92,Highly Interested
52,Male,High School,2000-5000 AED,Dubai,1-2 times/week,Vegan,No,Somewhat Interested,"Immunity Boost, Weight Management",500-1000 AED,668.17,Neutral
40,Male,Doctorate,<2000 AED,Ajman,1-2 times/week,Vegetarian,Yes,Very Interested,"Immunity Boost, Anti-Aging, Fitness Performance",>2000 AED,2586.75,Interested
46,Female,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Not Interested,"Fitness Performance, Weight Management, Skin Health, Energy Levels, Immunity Boost",500-1000 AED,551.45,Interested
60,Female,Master’s,2000-5000 AED,Abu Dhabi,Never,Vegetarian,Yes,Neutral,"Energy Levels, Weight Management, Fitness Performance, Mental Wellness",1000-2000 AED,1730.13,Highly Interested
28,Male,High School,10000-20000 AED,Ajman,5+ times/week,Vegetarian,Yes,Somewhat Interested,"Energy Levels, Fitness Performance, Mental Wellness",500-1000 AED,693.62,Interested
35,Female,Bachelor’s,<2000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Energy Levels, Anti-Aging, Immunity Boost, Weight Management",200-500 AED,435.32,Interested
64,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Skin Health, Energy Levels",500-1000 AED,746.45,Highly Interested
29,Female,Master’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Vegetarian,Yes,Very Interested,"Weight Management, Energy Levels, Immunity Boost",200-500 AED,254.26,Highly Interested
